English,Polish
you,ty
to,do
and,oraz
that,że
it,to
of,z
me,ja
what,Co
is,jest
in,w
this,ten
know,wiedzieć
I'm,Jestem
for,dla
no,nie
have,mieć
my,mój
don't,nie
just,tylko
not,nie
do,robić
be,być
on,na
your,twój
was,był
we,my
it's,jego
with,z
so,więc
but,ale
all,wszystko
well,dobrze
are,są
he,on
oh,oh
about,o
right,prawo
you're,Jesteś
get,Dostawać
here,tutaj
out,na zewnątrz
going,pójście
like,tak jak
yeah,tak
if,jeśli
her,ją
she,Ona
can,Móc
up,w górę
want,chcieć
think,myśleć
that's,to jest
now,Teraz
go,iść
him,jego
at,w
how,Jak
got,dostał
there,tam
one,jeden
did,zrobił
why,czemu
see,Widzieć
come,chodź
good,Dobry
they,one
really,naprawdę
as,jak
would,zrobiłbym
look,wyglądać
when,gdy
time,czas
will,będzie
okay,w porządku
back,plecy
can't,żargon
mean,oznaczać
tell,powiedzieć
I'll,Chory
from,z
hey,Siema
were,byli
he's,On jest
could,mógłby
didn't,nie
yes,tak
his,jego
been,został
or,lub
something,coś
who,kto
because,dlatego
some,niektóre
had,miał
then,następnie
say,mówić
take,Brać
an,jakiś
way,droga
us,nas
little,mały
make,robić
need,potrzebować
gonna,zamierzać
never,nigdy
we're,byli
too,także
love,kocham
she's,Ona jest
I've,Ja
sure,Jasne
them,ich
more,jeszcze
over,koniec
our,nasz
sorry,przepraszam
where,gdzie
what's,Co jest
let,wynajmować
thing,rzecz
am,jestem
maybe,być może
down,na dół
man,facet
has,ma
very,bardzo
by,za pomocą
there's,jest
should,powinien
anything,byle co
said,powiedział
much,dużo
any,każdy
life,życie
even,nawet
off,wyłączony
please,Proszę
doing,czyn
thank,dziękować
give,dawać
only,tylko
thought,myśl
help,Wsparcie
two,dwa
talk,rozmowa
people,ludzie
god,bóg
still,nadal
wait,czekać
into,w
find,odnaleźć
nothing,nic
again,ponownie
things,rzeczy
let's,Let
doesn't,nie
call,połączenie
told,powiedział
great,Świetnie
before,zanim
better,lepiej
ever,zawsze
night,noc
than,niż
away,z dala
first,pierwszy
believe,uważać
other,inny
feel,czuć
everything,wszystko
work,praca
you've,ty
fine,Cienki
home,Dom
after,po
last,ostatni
these,te
day,dzień
keep,trzymać
does,czy
put,położyć
around,na około
stop,Zatrzymaj się
they're,Oni
guy,facet
long,długie
isn't,nie jest
always,zawsze
listen,słuchać
wanted,poszukiwany
Mr.,Pan
guys,chłopaki
those,tych
big,duża
lot,działka
happened,stało się
thanks,Dziękuję
trying,próbować
kind,uprzejmy
wrong,zło
through,poprzez
talking,mówić
made,zrobiony
new,Nowy
being,istnienie
guess,zgadywać
hi,cześć
care,opieka
bad,zły
mom,mama
remember,Zapamiętaj
getting,dostawanie
we'll,dobrze
together,razem
dad,tata
leave,Odejdź
mother,matka
place,miejsce
understand,Rozumiesz
wouldn't,nie
actually,Właściwie
hear,słyszeć
baby,Dziecko
nice,ładny
father,ojciec
else,w przeciwnym razie
stay,zostawać
done,Gotowe
wasn't,nie było
their,ich
course,kurs
might,móc
mind,umysł
every,każdy
enough,wystarczająco
try,próbować
hell,piekło
came,przyszło
someone,ktoś
you'll,będziesz
own,własny
family,rodzina
whole,cały
another,inne
yourself,się
idea,pomysł
ask,zapytać się
best,Najlepsza
must,musi
coming,nadchodzący
old,stary
looking,patrząc
woman,kobieta
hello,Witam
which,który
years,lata
room,pokój
money,pieniądze
left,lewy
knew,wiedziałem
tonight,dziś wieczorem
real,prawdziwy
son,syn
hope,nadzieja
name,Nazwa
same,to samo
went,wszedł
happy,szczęśliwy
pretty,ładny
saw,widział
girl,dziewczyna
sir,Pan
show,pokazać
friend,przyjaciel
already,już
saying,powiedzenie
next,następny
three,trzy
job,stanowisko
problem,problem
minute,minuta
found,znaleziony
world,świat
thinking,myślący
haven't,nie
heard,usłyszał
honey,miód
matter,materiał
myself,ja
couldn't,Nie mogłem
exactly,dokładnie
having,mający
probably,prawdopodobnie
happen,zdarzyć
we've,Mamy
hurt,zraniony
boy,chłopak
both,Zarówno
while,podczas gdy
dead,nie żyje
gotta,musieć
alone,sam
since,odkąd
excuse,wymówka
start,początek
kill,zabić
hard,ciężko
you'd,Będziesz
today,Dziś
car,samochód
ready,gotowy
until,aż do
without,bez
whatever,cokolwiek
wants,chce
hold,utrzymać
wanna,chcieć
yet,już
seen,widziany
deal,sprawa
took,wzięła
once,raz
gone,odszedł
called,nazywa
morning,rano
supposed,przypuszczalny
friends,przyjaciele
head,głowa
stuff,rzeczy
most,bardzo
used,używany
worry,martwić się
second,druga
part,część
live,relacja na żywo
truth,prawda
school,szkoła
face,Twarz
forget,zapominać
TRUE,PRAWDA
business,biznes
each,każdy
cause,przyczyna
soon,wkrótce
knows,wie
few,mało
telling,wymowny
wife,żona
who's,kto jest
use,posługiwać się
chance,szansa
run,biegać
move,ruszaj się
anyone,ktokolwiek
person,osoba
somebody,ktoś
heart,serce
such,taki
miss,tęsknić
married,żonaty
point,punkt
later,później
making,zrobienie
meet,spotykać się
anyway,w każdym razie
many,wiele
phone,telefon
reason,powód
damn,cholerny
lost,Stracony
looks,Wygląd
bring,przynieść
case,walizka
turn,skręcać
wish,życzenie
tomorrow,jutro
kids,Dzieci
trust,zaufanie
check,sprawdzać
change,zmiana
end,koniec
late,późno
anymore,nie więcej
five,pięć
least,najmniej
town,miasto
aren't,nie są
working,pracujący
year,rok
makes,robi
taking,nabierający
means,oznacza
brother,brat
play,bawić się
hate,nienawidzić
ago,temu
says,mówi
beautiful,piękny
gave,dał
fact,fakt
crazy,zwariowany
party,przyjęcie
sit,siedzieć
open,otwarty
afraid,przestraszony
between,pomiędzy
important,ważny
rest,reszta
fun,zabawa
kid,dziecko
word,słowo
watch,zegarek
glad,zadowolony
everyone,każdy
days,dni
sister,siostra
minutes,minuty
everybody,wszyscy
bit,fragment
couple,para
whoa,Whoa
either,zarówno
Mrs.,Pani.
feeling,uczucie
daughter,córka
wow,wow
gets,dostaje
asked,spytał
under,pod
break,przerwanie
promise,obietnica
door,drzwi
set,ustawić
close,blisko
hand,ręka
easy,łatwo
question,pytanie
doctor,lekarz
tried,wypróbowany
far,daleko
walk,spcerować
needs,wymagania
trouble,kłopot
mine,moje
though,chociaż
times,czasy
different,różne
killed,zabity
hospital,szpital
anybody,ktoś
alright,w porządku
wedding,ślub
shut,zamknąć
able,zdolny
die,umierać
perfect,idealny
police,Policja
stand,stoisko
comes,pochodzi
hit,uderzyć
story,fabuła
waiting,Czekanie
dinner,obiad
against,przeciwko
funny,zabawny
husband,mąż
almost,prawie
stupid,głupi
pay,płacić
answer,odpowiadać
four,cztery
office,gabinet
cool,Fajny
eyes,oczy
news,Aktualności
child,dziecko
